"tipo_selecao","sigma_p","encounters_n","n_reps","Metrica","Gen_1","Gen_50","Delta","Delta_pct"
"uniform",0.2,10,8,"Centralization",0.0154569929061316,0.0127798515932068,-0.00267714131292482,-17.3199362203423
"uniform",0.2,10,8,"I_s",0.311066157415231,0.33750938215937,0.0264432247441389,8.50083627350074
"uniform",0.2,10,8,"Modularity",0.616947526913628,0.657113839211336,0.0401663122977077,6.51049085140931
"uniform",0.2,10,8,"Nestedness",0.848147180616454,0.701519181732961,-0.146627998883493,-17.2880370570731
"uniform",0.2,10,8,"varz_males",0.780381075510151,0.0728249865017191,-0.707556089008432,-90.6680224845135
"uniform",0.2,10,8,"zbar_males",4.9953779121327,4.97355225619591,-0.0218256559367909,-0.436917012500316
"gaussian",0.2,10,8,"Centralization",0.0240907852132973,0.0153064853211722,-0.00878429989212514,-36.4633191253413
"gaussian",0.2,10,8,"I_s",0.735620270921744,0.355137190494594,-0.380483080427151,-51.7227563550416
"gaussian",0.2,10,8,"Modularity",0.584083501882398,0.617208115565407,0.0331246136830087,5.67121200586113
"gaussian",0.2,10,8,"Nestedness",0.997434857566111,0.803450698162178,-0.193984159403933,-19.4483036092485
"gaussian",0.2,10,8,"varz_males",0.733957194676819,0.0744048841324207,-0.659552310544399,-89.8625036075594
"gaussian",0.2,10,8,"zbar_males",4.97056451131806,5.00663689723169,0.0360723859136316,0.725720103450909
"sigmoid",0.2,10,8,"Centralization",0.0253161369122687,0.0152397558084892,-0.0100763811037795,-39.8022065479362
"sigmoid",0.2,10,8,"I_s",0.635691187936215,0.299487691229678,-0.336203496706537,-52.8878649078067
"sigmoid",0.2,10,8,"Modularity",0.590819925321702,0.607502343479427,0.0166824181577249,2.82360452698701
"sigmoid",0.2,10,8,"Nestedness",1.02838584351885,0.843812405278305,-0.184573438240543,-17.9478781630233
"sigmoid",0.2,10,8,"varz_males",0.724976927185223,0.0790249580109076,-0.645951969174315,-89.0996588929074
"sigmoid",0.2,10,8,"zbar_males",4.99031208540266,5.76834267408902,0.778030588686361,15.5908202808038
"u-shaped",0.2,10,8,"Centralization",0.0277332518309562,0.0209556947302469,-0.00677755710070928,-24.4383786727242
"u-shaped",0.2,10,8,"I_s",0.727815435963453,0.260143481021494,-0.467671954941959,-64.2569437020628
"u-shaped",0.2,10,8,"Modularity",0.594050801586073,0.572221803314164,-0.0218289982719087,-3.67460126535084
"u-shaped",0.2,10,8,"Nestedness",1.05637413041747,1.03759948974865,-0.0187746406688121,-1.77727190852284
"u-shaped",0.2,10,8,"varz_males",0.738579683314287,0.0717950797504998,-0.666784603563787,-90.279304809966
"u-shaped",0.2,10,8,"zbar_males",5.00029781579758,4.72336674415737,-0.27693107164021,-5.53829155466089
"uniform",0.5,10,8,"Centralization",0.0154783100973066,0.014427958766519,-0.00105035133078763,-6.78595611655566
"uniform",0.5,10,8,"I_s",0.313442194520469,0.352835569814832,0.0393933752943633,12.56798733005
