"tipo_selecao","sigma_p","encounters_n","Metrica","Gen_inicial","Gen_final","Delta","Delta_pct"
"uniform",0.2,10,"Centralization",0.0223442121703811,0.0172138264523056,-0.00513038571807546,-22.9606919185819
"uniform",0.2,10,"I_s",0.176097793841759,0.196911117310601,0.0208133234688421,11.8191846784548
"uniform",0.2,10,"Modularity",0.417331119048094,0.441958047222823,0.0246269281747294,5.90105243790635
"uniform",0.2,10,"Nestedness",1.45795574274067,1.26195293663446,-0.19600280610621,-13.4436732446873
"uniform",0.2,10,"varz_males",0.723721029347034,0.075890961604538,-0.647830067742496,-89.5137824483269
"uniform",0.2,10,"zbar_males",5.00993476741003,4.98783410028802,-0.0221006671220154,-0.441136824091638
"gaussian",0.2,10,"Centralization",0.0345975705258753,0.0236101927226334,-0.010987377803242,-31.7576570731305
"gaussian",0.2,10,"I_s",0.595856025529062,0.136026158432466,-0.459829867096596,-77.1713043747962
"gaussian",0.2,10,"Modularity",0.397156881704855,0.307770353287282,-0.0893865284175732,-22.506604451588
"gaussian",0.2,10,"Nestedness",1.7519159599854,1.94928800629778,0.197372046312377,11.2660681688191
"gaussian",0.2,10,"varz_males",0.712862470796294,0.0702460963460471,-0.642616374450247,-90.1459118380044
"gaussian",0.2,10,"zbar_males",5.01417176787905,4.99235980695976,-0.0218119609192851,-0.43500625684611
"sigmoid",0.2,10,"Centralization",0.0335300605763601,0.029202818947902,-0.00432724162845811,-12.9055586362673
"sigmoid",0.2,10,"I_s",0.487750886619789,0.11396419361877,-0.373786693001019,-76.6347541859812
"sigmoid",0.2,10,"Modularity",0.40404996368246,0.301383763333904,-0.102666200348556,-25.4092833997235
"sigmoid",0.2,10,"Nestedness",1.7805267869781,2.18441999497196,0.403893207993863,22.6839164087696
"sigmoid",0.2,10,"varz_males",0.698404542914876,0.0745776784580276,-0.623826864456849,-89.321707710152
"sigmoid",0.2,10,"zbar_males",5.0010411740974,5.79578483321803,0.794743659120639,15.8915640054509
"u-shaped",0.2,10,"Centralization",0.0355059975032936,0.0340709327366234,-0.00143506476667014,-4.04175313350097
"u-shaped",0.2,10,"I_s",0.586258182163762,0.101690407195697,-0.484567774968065,-82.6543304145661
"u-shaped",0.2,10,"Modularity",0.405481260338986,0.279878996089417,-0.125602264249569,-30.9760959469654
"u-shaped",0.2,10,"Nestedness",1.86916323812835,2.62311370393285,0.753950465804502,40.3362558403115
"u-shaped",0.2,10,"varz_males",0.703810271765164,0.0713934898059864,-0.632416781959177,-89.8561455167554
"u-shaped",0.2,10,"zbar_males",4.98717994532999,4.99232593432033,0.00514598899034358,0.103184345597201
"uniform",0.5,10,"Centralization",0.0212990877223236,0.0178755062930255,-0.00342358142929814,-16.073840691824
"uniform",0.5,10,"I_s",0.166868077157207,0.19542510581589,0.0285570286586827,17.1135361209795
"uniform",0.5,10,"Modularity",0.415680679556401,0.440457971267035,0.0247772917106343,5.96065512043419
"uniform",0.5,10,"Nestedness",1.48223136218837,1.27114575124655,-0.21108561094182,-14.241070343443
"uniform",0.5,10,"varz_males",0.723067066979466,0.0735853778092646,-0.649481689170202,-89.8231600954169
"uniform",0.5,10,"zbar_males",4.98196816187171,4.97858859991649,-0.0033795619552226,-0.0678358802267598
"gaussian",0.5,10,"Centralization",0.0276238378575231,0.0201812857991043,-0.00744255205841888,-26.9424983480055
"gaussian",0.5,10,"I_s",0.437299657345388,0.152667515630622,-0.284632141714766,-65.0885810070412
"gaussian",0.5,10,"Modularity",0.440859167295915,0.360654302703367,-0.0802048645925476,-18.1928539865685
"gaussian",0.5,10,"Nestedness",1.48765695346956,1.79660366259115,0.308946709121592,20.7673353995393
"gaussian",0.5,10,"varz_males",0.715868904065732,0.0740381654413914,-0.64183073862434,-89.6575804562963
"gaussian",0.5,10,"zbar_males",4.9890720924375,4.99929396869243,0.0102218762549366,0.204885318663386
"sigmoid",0.5,10,"Centralization",0.0315007443056392,0.0283269601194464,-0.00317378418619288,-10.0752672870168
"sigmoid",0.5,10,"I_s",0.434277314619926,0.104648879052999,-0.329628435566927,-75.9027525661601
"sigmoid",0.5,10,"Modularity",0.408172838595774,0.301446649808273,-0.106726188787501,-26.1473029794604
"sigmoid",0.5,10,"Nestedness",1.96072848638234,2.28567020963298,0.324941723250638,16.5724997370837
"sigmoid",0.5,10,"varz_males",0.708973467921648,0.0771725816503595,-0.631800886271288,-89.1148843867754
"sigmoid",0.5,10,"zbar_males",4.99409990508989,5.86786677145594,0.873766866366043,17.4959829192747
"u-shaped",0.5,10,"Centralization",0.0314557155254804,0.0365351079454444,0.00507939241996395,16.1477567275474
"u-shaped",0.5,10,"I_s",0.304194876623446,0.0983759008878339,-0.205818975735612,-67.6602374176043
"u-shaped",0.5,10,"Modularity",0.392260007687133,0.280649001867362,-0.111611005819772,-28.4533227024236
"u-shaped",0.5,10,"Nestedness",1.82750297956265,2.77851429172607,0.951011312163416,52.03883784589
"u-shaped",0.5,10,"varz_males",0.714721598846436,0.0740231079063348,-0.640698490940101,-89.6430850801475
"u-shaped",0.5,10,"zbar_males",4.98660081039526,4.91547321495292,-0.0711275954423449,-1.42637436094884
"uniform",0.8,10,"Centralization",0.0215199559806751,0.017937354328046,-0.00358260165262915,-16.6478112494576
"uniform",0.8,10,"I_s",0.162415936124162,0.19555236864023,0.0331364325160678,20.4022051695321
"uniform",0.8,10,"Modularity",0.417328428478512,0.436320033219039,0.0189916047405261,4.55075749566483
"uniform",0.8,10,"Nestedness",1.42467400686875,1.25996373518565,-0.164710271683099,-11.5612603928327
"uniform",0.8,10,"varz_males",0.720624059264045,0.0781875770983172,-0.642436482165728,-89.1500185022731
"uniform",0.8,10,"zbar_males",4.99915422454143,4.97703884953019,-0.0221153750112393,-0.442382331448634
"gaussian",0.8,10,"Centralization",0.0237114433300182,0.0173254700300294,-0.00638597329998881,-26.9320311341162
"gaussian",0.8,10,"I_s",0.330397917330962,0.187058350967629,-0.143339566363333,-43.3839194633144
"gaussian",0.8,10,"Modularity",0.49063828882282,0.425112456305272,-0.0655258325175477,-13.3552219649964
"gaussian",0.8,10,"Nestedness",1.30327971745188,1.64318934208443,0.339909624632556,26.0810952615094
"gaussian",0.8,10,"varz_males",0.722899498973162,0.0769373812973099,-0.645962117675852,-89.3571123777793
"gaussian",0.8,10,"zbar_males",4.99515831314718,5.0073726433003,0.0122143301531148,0.244523384193187
"sigmoid",0.8,10,"Centralization",0.0322476852778238,0.029875152077226,-0.00237253320059778,-7.35722015443177
"sigmoid",0.8,10,"I_s",0.386614905338655,0.112999617993206,-0.273615287345448,-70.7720482493492
"sigmoid",0.8,10,"Modularity",0.413726551872825,0.303797962534874,-0.109928589337951,-26.5703491449448
"sigmoid",0.8,10,"Nestedness",2.05311510083974,2.3917643013719,0.338649200532164,16.4944089298089
"sigmoid",0.8,10,"varz_males",0.698944097692459,0.0757593366727553,-0.623184761019703,-89.1608875555467
"sigmoid",0.8,10,"zbar_males",4.98569438699595,5.92319154087558,0.937497153879623,18.8037428913587
"u-shaped",0.8,10,"Centralization",0.0274879363454734,0.0215575950873587,-0.0059303412581147,-21.574341498689
"u-shaped",0.8,10,"I_s",0.18294683670428,0.171366115333292,-0.0115807213709884,-6.3301020010025
"u-shaped",0.8,10,"Modularity",0.368650818842585,0.388853158579501,0.0202023397369164,5.48007455953676
"u-shaped",0.8,10,"Nestedness",1.85205579709637,1.99293291027431,0.140877113177932,7.6065264015694
"u-shaped",0.8,10,"varz_males",0.720832298037284,0.0829540876144242,-0.637878210422859,-88.4919019527433
"u-shaped",0.8,10,"zbar_males",4.9999632073534,5.01920979610323,0.0192465887498354,0.384934607549305
"uniform",1,10,"Centralization",0.021928311623739,0.0178153382091359,-0.00411297341460318,-18.7564527774705
"uniform",1,10,"I_s",0.161331379007976,0.191991382252655,0.0306600032446792,19.0043644535906
"uniform",1,10,"Modularity",0.418501673724956,0.439262269914299,0.0207605961893431,4.96069609580276
"uniform",1,10,"Nestedness",1.46764340914676,1.23648813214192,-0.231155277004837,-15.7500981208523
"uniform",1,10,"varz_males",0.710835721816697,0.0771174681076413,-0.633718253709055,-89.1511546563036
"uniform",1,10,"zbar_males",4.98673582609587,4.99643170384441,0.0096958777485403,0.194433354536273
"gaussian",1,10,"Centralization",0.0210232023778805,0.0178447617207622,-0.00317844065711828,-15.1187273945594
"gaussian",1,10,"I_s",0.298209656557747,0.222569140452087,-0.0756405161056605,-25.3648781795947
"gaussian",1,10,"Modularity",0.52536137133166,0.474807738140688,-0.0505536331909725,-9.62263994835243
"gaussian",1,10,"Nestedness",1.18706842678461,1.51395457017431,0.326886143389703,27.5372620494282
"gaussian",1,10,"varz_males",0.714532161652203,0.075176435152104,-0.639355726500099,-89.4789291249991
"gaussian",1,10,"zbar_males",5.01882887458884,4.99361105276877,-0.0252178218200649,-0.502464269059799
"sigmoid",1,10,"Centralization",0.031668272339939,0.0282246928679708,-0.00344357947196813,-10.873910123683
"sigmoid",1,10,"I_s",0.351836849389538,0.110698170285151,-0.241138679104387,-68.5370732266332
"sigmoid",1,10,"Modularity",0.409080724177811,0.304562983738849,-0.104517740438963,-25.5494170860842
"sigmoid",1,10,"Nestedness",2.12091141316725,2.38857777339882,0.267666360231569,12.6203460724392
"sigmoid",1,10,"varz_males",0.705594631589007,0.0744396162550313,-0.631155015333976,-89.4500874974924
"sigmoid",1,10,"zbar_males",4.99896538791735,5.96343404916714,0.964468661249796,19.2933654547988
"u-shaped",1,10,"Centralization",0.026354535650226,0.0191359907345008,-0.00721854491572517,-27.3901426742204
"u-shaped",1,10,"I_s",0.152375888084309,0.165589558667949,0.0132136705836397,8.67175952164334
"u-shaped",1,10,"Modularity",0.354132901709994,0.390325008363123,0.0361921066531286,10.2199220909349
"u-shaped",1,10,"Nestedness",2.02244635149485,1.82849559346043,-0.193950758034427,-9.58990867130157
"u-shaped",1,10,"varz_males",0.69736102717832,0.0864653709358686,-0.610895656242451,-87.6010606320048
"u-shaped",1,10,"zbar_males",4.99047859784215,4.97130970999028,-0.0191688878518699,-0.384109208687086
"uniform",1.2,10,"Centralization",0.0216953135919603,0.0176426173781841,-0.00405269621377622,-18.6800536281625
"uniform",1.2,10,"I_s",0.166401371725991,0.19649512185266,0.0300937501266687,18.08503728937
"uniform",1.2,10,"Modularity",0.419623047209118,0.442685785524355,0.0230627383152368,5.49606092149261
"uniform",1.2,10,"Nestedness",1.45146448380983,1.25885264731876,-0.19261183649107,-13.2701722046618
"uniform",1.2,10,"varz_males",0.71967421385763,0.0783465668818245,-0.641327646975805,-89.1136064939901
"uniform",1.2,10,"zbar_males",5.00213110292166,5.0082524963995,0.00612139347784346,0.122375710510028
"gaussian",1.2,10,"Centralization",0.018416494502922,0.0169574253217014,-0.00145906918122061,-7.92262165304645
"gaussian",1.2,10,"I_s",0.294147646692119,0.2449203784139,-0.0492272682782187,-16.735564207911
"gaussian",1.2,10,"Modularity",0.557263274231877,0.510048452904617,-0.0472148213272595,-8.47262389439528
"gaussian",1.2,10,"Nestedness",1.10251274178334,1.39704534392813,0.294532602144784,26.7146665052024
"gaussian",1.2,10,"varz_males",0.693863838297842,0.0793423056741988,-0.614521532623643,-88.5651476132784
"gaussian",1.2,10,"zbar_males",5.00460991215006,5.00106825908394,-0.0035416530661232,-0.0707678146407547
"sigmoid",1.2,10,"Centralization",0.0297360218055844,0.0279155828083228,-0.00182043899726151,-6.12199913345382
"sigmoid",1.2,10,"I_s",0.322212046898809,0.117259251353789,-0.20495279554502,-63.6080486492131
"sigmoid",1.2,10,"Modularity",0.412650486620776,0.315548578414919,-0.0971019082058571,-23.5312719490607
"sigmoid",1.2,10,"Nestedness",2.14802552589666,2.36997145152883,0.221945925632173,10.3325553144684
"sigmoid",1.2,10,"varz_males",0.733690106212685,0.0768709045143319,-0.656819201698353,-89.5227012244802
"sigmoid",1.2,10,"zbar_males",5.00304209719647,5.95385739611891,0.950815298922438,19.0047431232938
"u-shaped",1.2,10,"Centralization",0.0270279182926581,0.0202223097964476,-0.00680560849621048,-25.1799210820434
"u-shaped",1.2,10,"I_s",0.134805919608985,0.15524469211545,0.0204387725064653,15.1616283363146
"u-shaped",1.2,10,"Modularity",0.338964078280256,0.370461817206314,0.0314977389260576,9.29235306757642
"u-shaped",1.2,10,"Nestedness",2.08536603924239,1.8721856044456,-0.213180434796782,-10.222686606819
"u-shaped",1.2,10,"varz_males",0.736811682260209,0.0844885161209539,-0.652323166139255,-88.5332279393588
"u-shaped",1.2,10,"zbar_males",4.99103000418102,5.04574762665918,0.0547176224781616,1.09631924537268
"uniform",1.5,10,"Centralization",0.0215589348668205,0.0177757617373427,-0.00378317312947773,-17.5480521317409
"uniform",1.5,10,"I_s",0.161218841579847,0.196232585428343,0.0350137438484963,21.7181462820243
"uniform",1.5,10,"Modularity",0.414900185160527,0.439327279112398,0.0244270939518709,5.88746277431038
"uniform",1.5,10,"Nestedness",1.48447218001274,1.26524477869025,-0.219227401322481,-14.7680370352646
"uniform",1.5,10,"varz_males",0.688462912356548,0.0756669042695304,-0.612796008087018,-89.0092984078795
"uniform",1.5,10,"zbar_males",5.01103393931804,4.97041549328024,-0.0406184460378043,-0.810580142335497
"gaussian",1.5,10,"Centralization",0.0189109530870339,0.0164113593489336,-0.00249959373810034,-13.217703658808
"gaussian",1.5,10,"I_s",0.320247731983705,0.280789982362423,-0.0394577496212817,-12.321008294694
"gaussian",1.5,10,"Modularity",0.612753196829725,0.555981417829538,-0.0567717790001878,-9.26503187480943
"gaussian",1.5,10,"Nestedness",0.991093708251584,1.27687972827115,0.285786020019563,28.8354186531691
"gaussian",1.5,10,"varz_males",0.737217835100339,0.0827904928130484,-0.65442734228729,-88.769873859362
"gaussian",1.5,10,"zbar_males",4.99193064059011,4.99406610694219,0.00213546635207607,0.0427783658433128
"sigmoid",1.5,10,"Centralization",0.0289889525037332,0.0250355230224666,-0.00395342948126659,-13.6377107132708
"sigmoid",1.5,10,"I_s",0.284729996960681,0.116955548608326,-0.167774448352355,-58.9240509055053
"sigmoid",1.5,10,"Modularity",0.404940248734482,0.324706406648898,-0.0802338420855843,-19.8137484076554
"sigmoid",1.5,10,"Nestedness",2.19603949893329,2.29467204627571,0.0986325473424197,4.49138311903451
"sigmoid",1.5,10,"varz_males",0.722071127106991,0.0750224260290052,-0.647048701077986,-89.6101058174718
"sigmoid",1.5,10,"zbar_males",5.00303533223239,5.91888120410142,0.915845871869025,18.3058045976335
"u-shaped",1.5,10,"Centralization",0.0252139760959244,0.020542920202611,-0.00467105589331338,-18.5256616233106
"u-shaped",1.5,10,"I_s",0.117641471303656,0.139090257657893,0.0214487863542364,18.2323343261092
"u-shaped",1.5,10,"Modularity",0.324097266780332,0.34810432328355,0.0240070565032181,7.40736160527072
"u-shaped",1.5,10,"Nestedness",2.20175816382795,1.95483564825858,-0.246922515569364,-11.2147882372362
"u-shaped",1.5,10,"varz_males",0.723357558019168,0.0805878604259149,-0.642769697593253,-88.8591942487481
"u-shaped",1.5,10,"zbar_males",5.01243759095469,5.00561270290313,-0.00682488805155668,-0.136159062885345
"uniform",2,10,"Centralization",0.0205825297389344,0.0176002443575516,-0.00298228538138279,-14.4894015420342
"uniform",2,10,"I_s",0.164382071304823,0.193036131531695,0.0286540602268721,17.4313780082119
"uniform",2,10,"Modularity",0.415569142505025,0.438761466452927,0.0231923239479014,5.58085805122573
"uniform",2,10,"Nestedness",1.44616232828144,1.25159890805147,-0.194563420229978,-13.4537746161033
"uniform",2,10,"varz_males",0.719937049628328,0.0746296090409542,-0.645307440587374,-89.6338702002512
"uniform",2,10,"zbar_males",4.976342297426,5.00762794624764,0.0312856488216395,0.628687637460589
"gaussian",2,10,"Centralization",0.0169606405657082,0.0180349350983376,0.00107429453262945,6.33404456905658
"gaussian",2,10,"I_s",0.338718118952706,0.344038699038325,0.00532058008561842,1.57079878161502
"gaussian",2,10,"Modularity",0.668361294470787,0.643528626107195,-0.024832668363592,-3.71545578252772
"gaussian",2,10,"Nestedness",0.904082448077817,1.05472595864827,0.150643510570455,16.6625854633878
"gaussian",2,10,"varz_males",0.691997182729733,0.0798738153865768,-0.612123367343156,-88.4574941372598
"gaussian",2,10,"zbar_males",5.00369845003181,5.00855327756882,0.00485482753701216,0.0970247824782747
"sigmoid",2,10,"Centralization",0.0269732232700075,0.0248345568621324,-0.00213866640787511,-7.92884998009551
"sigmoid",2,10,"I_s",0.234366483218708,0.127668800879446,-0.106697682339262,-45.5259988006446
"sigmoid",2,10,"Modularity",0.400656474406046,0.339569369797602,-0.0610871046084439,-15.2467533936654
"sigmoid",2,10,"Nestedness",2.16179277237377,2.30514872534099,0.143355952967221,6.6313457422567
"sigmoid",2,10,"varz_males",0.718686434838918,0.076576489383138,-0.64210994545578,-89.3449374204063
"sigmoid",2,10,"zbar_males",5.00424079681412,5.8664814085142,0.862240611700076,17.230198280007
"u-shaped",2,10,"Centralization",0.0265590153391829,0.0215181086267675,-0.00504090671241537,-18.9800210890291
"u-shaped",2,10,"I_s",0.109840202146712,0.126109477093149,0.0162692749464371,14.8117671202994
"u-shaped",2,10,"Modularity",0.310052518370948,0.325557486025299,0.0155049676543518,5.00075527069307
"u-shaped",2,10,"Nestedness",2.29062268057858,2.00135418499574,-0.289268495582839,-12.6283782150351
"u-shaped",2,10,"varz_males",0.711901892878206,0.0797784218774058,-0.6321234710008,-88.7936213296381
"u-shaped",2,10,"zbar_males",5.00879939550021,4.99675245957641,-0.0120469359238022,-0.240515440379284
"uniform",0.2,40,"Centralization",0.02925934339255,0.0248966728534667,-0.0043626705390833,-14.9103501078364
"uniform",0.2,40,"I_s",0.079906828836415,0.0968318007678875,0.0169249719314724,21.180883008286
"uniform",0.2,40,"Modularity",0.268372836190439,0.273947569119425,0.00557473292898608,2.07723442063645
"uniform",0.2,40,"Nestedness",1.2100313313817,1.24804228551451,0.0380109541328089,3.14131982759531
"uniform",0.2,40,"varz_males",0.744210146581137,0.0759793953117657,-0.668230751269371,-89.7905993809932
"uniform",0.2,40,"zbar_males",5.00108363518051,5.00733277334707,0.00624913816655948,0.124955682056573
"gaussian",0.2,40,"Centralization",0.0540434295736471,0.026320386405068,-0.0277230431685791,-51.2977125754017
"gaussian",0.2,40,"I_s",0.481973992276064,0.115682107433665,-0.366291884842399,-75.9982676892233
"gaussian",0.2,40,"Modularity",0.255038011740524,0.272407254166667,0.0173692424261426,6.81045241358533
"gaussian",0.2,40,"Nestedness",1.32267782232048,1.24670530717905,-0.0759725151414319,-5.74384130884927
"gaussian",0.2,40,"varz_males",0.701661456413674,0.0694735189705678,-0.632187937443106,-90.0987123725364
"gaussian",0.2,40,"zbar_males",5.00562938171704,5.00797648592446,0.00234710420742168,0.0468892926031326
"sigmoid",0.2,40,"Centralization",0.0568494357937323,0.0304984609963991,-0.0263509747973332,-46.3522186797822
"sigmoid",0.2,40,"I_s",0.405932021527479,0.092346026954233,-0.313585994573246,-77.2508641701276
"sigmoid",0.2,40,"Modularity",0.263104511076988,0.267494129166667,0.00438961808967875,1.66839332085579
"sigmoid",0.2,40,"Nestedness",1.4451741610466,1.22283234580189,-0.222341815244711,-15.3851225158696
"sigmoid",0.2,40,"varz_males",0.717530760767829,0.074271666460494,-0.643259094307335,-89.6489919984732
"sigmoid",0.2,40,"zbar_males",4.9924846633906,5.78582599956583,0.793341336175232,15.8907115327309
