"Curva","Sigma_p","k","Modularidade","NODF","Tribos","Comunidades"
"Aleatória",0.5,5,0.44,0.587,2,16
"Aleatória",0.5,10,0.274,1.154,1,10
"Aleatória",0.5,20,0.192,2.481,1,6
"Aleatória",1,5,0.44,0.555,3,15
"Aleatória",1,10,0.274,1.086,1,10
"Aleatória",1,20,0.192,2.644,1,6
"Aleatória",2,5,0.44,0.635,4,15
"Aleatória",2,10,0.274,1.233,1,8
"Aleatória",2,20,0.192,2.416,1,6
"Disruptiva",0.5,5,0.44,0.563,1,12
"Disruptiva",0.5,10,0.278,1.313,1,10
"Disruptiva",0.5,20,0.196,2.562,1,5
"Disruptiva",1,5,0.441,0.593,5,16
"Disruptiva",1,10,0.287,1.213,1,8
"Disruptiva",1,20,0.217,2.522,1,6
"Disruptiva",2,5,0.441,0.533,2,14
"Disruptiva",2,10,0.278,1.328,1,12
"Disruptiva",2,20,0.2,2.782,1,6
"Gaussiana",0.5,5,0.441,0.618,1,13
"Gaussiana",0.5,10,0.279,1.318,1,9
"Gaussiana",0.5,20,0.207,2.321,1,4
"Gaussiana",1,5,0.473,0.796,5,16
"Gaussiana",1,10,0.321,1.536,1,7
"Gaussiana",1,20,0.255,3.572,1,5
"Gaussiana",2,5,0.581,0.854,14,26
"Gaussiana",2,10,0.399,2.025,3,12
"Gaussiana",2,20,0.304,3.385,1,8
"Sigmoide",0.5,5,0.44,0.588,3,17
"Sigmoide",0.5,10,0.274,1.254,1,9
"Sigmoide",0.5,20,0.192,2.601,1,6
"Sigmoide",1,5,0.44,0.536,2,16
"Sigmoide",1,10,0.275,1.203,1,10
"Sigmoide",1,20,0.193,2.715,1,6
"Sigmoide",2,5,0.447,0.618,3,14
"Sigmoide",2,10,0.28,1.271,1,11
"Sigmoide",2,20,0.197,3.266,1,8
