"Curva","Sigma_p","k","Modularidade","NODF","Tribos","Comunidades"
"Disruptive",0.5,5,0.44,0.526,1,14
"Disruptive",0.5,10,0.277,1.143,1,9
"Disruptive",0.5,20,0.196,2.691,1,9
"Disruptive",1,5,0.441,0.589,1,13
"Disruptive",1,10,0.287,1.299,1,9
"Disruptive",1,20,0.218,2.69,1,5
"Disruptive",2,5,0.441,0.619,2,14
"Disruptive",2,10,0.278,1.158,1,9
"Disruptive",2,20,0.2,2.669,1,6
"Gaussian",0.5,5,0.442,0.572,3,17
"Gaussian",0.5,10,0.279,1.17,1,11
"Gaussian",0.5,20,0.207,2.973,1,5
"Gaussian",1,5,0.473,0.618,3,13
"Gaussian",1,10,0.321,1.571,1,8
"Gaussian",1,20,0.254,3.219,1,5
"Gaussian",2,5,0.581,0.811,13,23
"Gaussian",2,10,0.399,1.853,2,11
"Gaussian",2,20,0.304,4.037,1,7
"Random",0.5,5,0.44,0.555,1,13
"Random",0.5,10,0.274,1.276,1,11
"Random",0.5,20,0.192,2.642,1,6
"Random",1,5,0.44,0.539,2,15
"Random",1,10,0.274,1.25,1,10
"Random",1,20,0.192,2.75,1,5
"Random",2,5,0.44,0.574,1,13
"Random",2,10,0.274,1.258,1,10
"Random",2,20,0.192,2.395,1,6
"Sigmoid",0.5,5,0.44,0.55,3,16
"Sigmoid",0.5,10,0.275,1.286,1,12
"Sigmoid",0.5,20,0.192,2.598,1,5
"Sigmoid",1,5,0.44,0.535,3,15
"Sigmoid",1,10,0.275,1.241,1,10
"Sigmoid",1,20,0.193,2.462,1,5
"Sigmoid",2,5,0.447,0.595,2,14
"Sigmoid",2,10,0.28,1.403,1,10
"Sigmoid",2,20,0.197,2.958,1,6
