"Curva","sigma_p","modularity_k5","modularity_k10","modularity_k20","nestedness_k5","nestedness_k10","nestedness_k20","tribos_k5","tribos_k10","tribos_k20","comunidades_k5","comunidades_k10","comunidades_k20"
"Aleatória",0.5,0.44,0.274,0.203,0.577,1.292,4.142,1,1,1,14,8,6
"Aleatória",1,0.44,0.274,0.203,0.578,1.252,3.927,3,1,1,16,9,6
"Aleatória",2,0.44,0.274,0.203,0.545,1.348,4.099,2,1,1,15,10,6
"Disruptiva",0.5,0.441,0.28,0.201,0.549,1.342,2.516,5,1,1,17,11,7
"Disruptiva",1,0.445,0.292,0.222,0.601,1.426,3.845,1,1,1,14,9,7
"Disruptiva",2,0.443,0.283,0.207,0.522,1.47,3.348,2,1,1,13,11,6
"Gaussiana",0.5,0.445,0.282,0.208,0.572,1.368,3.889,4,1,1,15,11,7
"Gaussiana",1,0.5,0.33,0.248,0.667,1.814,3.565,4,1,1,18,9,9
"Gaussiana",2,0.636,0.445,0.322,0.813,1.772,3.212,16,3,1,30,15,10
"Sigmoide",0.5,0.44,0.275,0.193,0.541,1.224,3.165,4,1,1,17,10,6
"Sigmoide",1,0.441,0.276,0.196,0.508,1.26,3.118,2,1,1,14,13,7
"Sigmoide",2,0.459,0.289,0.206,0.613,1.578,3.371,3,1,1,15,10,6
