"tipo_selecao","sigma_p","encounters_n","k_fixo","selecao_natural","replica","geracao_alvo","modularity","modularity_media_estavel","tribos","comunidades","nestedness","Is","centralization"
"uniform",0.5,200,5,FALSE,28,81,0.44,0.44,2,16,0.587,0.193,0.0175
"gaussian",0.5,200,5,FALSE,7,68,0.441,0.441,1,13,0.618,0.18,0.0176
"sigmoid",0.5,200,5,FALSE,1,38,0.44,0.44,3,17,0.588,0.199,0.0175
"u-shaped",0.5,200,5,FALSE,5,50,0.44,0.44,1,12,0.563,0.206,0.0175
"uniform",1,200,5,FALSE,22,27,0.44,0.44,3,15,0.555,0.193,0.0201
"gaussian",1,200,5,FALSE,6,37,0.473,0.473,5,16,0.796,0.274,0.0214
"sigmoid",1,200,5,FALSE,26,29,0.44,0.44,2,16,0.536,0.228,0.0201
"u-shaped",1,200,5,FALSE,14,67,0.441,0.441,5,16,0.593,0.235,0.0201
"uniform",2,200,5,FALSE,14,85,0.44,0.44,4,15,0.635,0.194,0.0125
"gaussian",2,200,5,FALSE,13,24,0.581,0.581,14,26,0.854,0.347,0.0191
"sigmoid",2,200,5,FALSE,20,88,0.447,0.447,3,14,0.618,0.212,0.0178
"u-shaped",2,200,5,FALSE,2,81,0.441,0.441,2,14,0.533,0.154,0.015
"uniform",0.5,200,10,FALSE,26,63,0.274,0.274,1,10,1.154,0.096,0.0251
"gaussian",0.5,200,10,FALSE,25,24,0.279,0.279,1,9,1.318,0.105,0.0277
"sigmoid",0.5,200,10,FALSE,21,28,0.274,0.274,1,9,1.254,0.12,0.0276
"u-shaped",0.5,200,10,FALSE,11,32,0.278,0.278,1,10,1.313,0.135,0.0301
"uniform",1,200,10,FALSE,15,85,0.274,0.274,1,10,1.086,0.086,0.0201
"gaussian",1,200,10,FALSE,10,64,0.321,0.321,1,7,1.536,0.133,0.0252
"sigmoid",1,200,10,FALSE,8,31,0.275,0.275,1,10,1.203,0.104,0.0226
"u-shaped",1,200,10,FALSE,17,24,0.287,0.287,1,8,1.213,0.106,0.0276
"uniform",2,200,10,FALSE,23,72,0.274,0.274,1,8,1.233,0.103,0.0251
"gaussian",2,200,10,FALSE,8,92,0.399,0.399,3,12,2.025,0.251,0.0249
"sigmoid",2,200,10,FALSE,11,83,0.28,0.28,1,11,1.271,0.103,0.0253
"u-shaped",2,200,10,FALSE,7,22,0.278,0.278,1,12,1.328,0.107,0.0376
"uniform",0.5,200,20,FALSE,29,84,0.192,0.192,1,6,2.481,0.039,0.0276
"gaussian",0.5,200,20,FALSE,3,88,0.207,0.207,1,4,2.321,0.05,0.0431
"sigmoid",0.5,200,20,FALSE,19,92,0.192,0.192,1,6,2.601,0.046,0.0326
"u-shaped",0.5,200,20,FALSE,14,51,0.196,0.196,1,5,2.562,0.073,0.0376
"uniform",1,200,20,FALSE,18,60,0.192,0.192,1,6,2.644,0.048,0.0276
"gaussian",1,200,20,FALSE,3,61,0.255,0.255,1,5,3.572,0.06,0.0356
"sigmoid",1,200,20,FALSE,14,60,0.193,0.193,1,6,2.715,0.056,0.038
"u-shaped",1,200,20,FALSE,26,46,0.217,0.217,1,6,2.522,0.077,0.0501
"uniform",2,200,20,FALSE,17,48,0.192,0.192,1,6,2.416,0.038,0.0301
"gaussian",2,200,20,FALSE,3,99,0.304,0.304,1,8,3.385,0.094,0.0261
"sigmoid",2,200,20,FALSE,7,28,0.197,0.197,1,8,3.266,0.064,0.037
"u-shaped",2,200,20,FALSE,12,100,0.2,0.2,1,6,2.782,0.045,0.0278
